num_gpus,us_per_zone_update,compute_scheme,averaging_scheme
8,0.003909738,B25,B25
8,0.003896489,B25,B25
8,0.004007166,B25,B25
16,0.002010222,B25,B25
16,0.001998494,B25,B25
16,0.00204729,B25,B25
32,0.001115149,B25,B25
32,0.001127151,B25,B25
32,0.001106905,B25,B25
64,0.0006314104,B25,B25
64,0.0006099434,B25,B25
64,0.0006327135,B25,B25
128,0.0004024659,B25,B25
128,0.0003619591,B25,B25
128,0.000374689,B25,B25
256,0.0002222893,B25,B25
256,0.0002235429,B25,B25
256,0.0002430159,B25,B25
512,0.0001601747,B25,B25
512,0.0001548707,B25,B25
512,0.0001478904,B25,B25
8,0.003899886,B25,LD04
8,0.003919526,B25,LD04
8,0.003996113,B25,LD04
16,0.001994583,B25,LD04
16,0.002024944,B25,LD04
16,0.002039721,B25,LD04
32,0.001120726,B25,LD04
32,0.001106819,B25,LD04
32,0.001130312,B25,LD04
64,0.0006244353,B25,LD04
64,0.0006399071,B25,LD04
64,0.0006306787,B25,LD04
128,0.0003654133,B25,LD04
128,0.0003716871,B25,LD04
128,0.0003690648,B25,LD04
256,0.0002385372,B25,LD04
256,0.000224088,B25,LD04
256,0.0002275325,B25,LD04
512,0.0001573981,B25,LD04
512,0.0001567163,B25,LD04
512,0.0001482731,B25,LD04
8,0.005126066,FS18,B25
8,0.005236998,FS18,B25
8,0.005119714,FS18,B25
16,0.002587935,FS18,B25
16,0.00264546,FS18,B25
16,0.002588246,FS18,B25
32,0.001406713,FS18,B25
32,0.001415312,FS18,B25
32,0.001386209,FS18,B25
64,0.0007542316,FS18,B25
64,0.0007844271,FS18,B25
64,0.0007596546,FS18,B25
128,0.0004376718,FS18,B25
128,0.0004442218,FS18,B25
128,0.00044017,FS18,B25
256,0.0002654043,FS18,B25
256,0.0002710541,FS18,B25
256,0.0002637028,FS18,B25
512,0.0001834116,FS18,B25
512,0.0001873116,FS18,B25
512,0.0001668397,FS18,B25
8,0.005108135,FS18,LD04
8,0.005195491,FS18,LD04
8,0.005071787,FS18,LD04
16,0.002594615,FS18,LD04
16,0.002663513,FS18,LD04
16,0.002586079,FS18,LD04
32,0.001438657,FS18,LD04
32,0.001454016,FS18,LD04
32,0.001414765,FS18,LD04
64,0.0007513822,FS18,LD04
64,0.0007666859,FS18,LD04
64,0.0007705273,FS18,LD04
128,0.0004184357,FS18,LD04
128,0.0004300735,FS18,LD04
128,0.0004279279,FS18,LD04
256,0.0002639016,FS18,LD04
256,0.0002706628,FS18,LD04
256,0.0002656503,FS18,LD04
512,0.0001830548,FS18,LD04
512,0.0001904318,FS18,LD04
512,0.0001663495,FS18,LD04
8,0.003023719,Q26,B25
8,0.003147052,Q26,B25
8,0.002993343,Q26,B25
16,0.001571266,Q26,B25
16,0.001613535,Q26,B25
16,0.0015679,Q26,B25
32,0.0008751344,Q26,B25
32,0.000911312,Q26,B25
32,0.0008973848,Q26,B25
64,0.0004958158,Q26,B25
64,0.0005076738,Q26,B25
64,0.0005000793,Q26,B25
128,0.0002973775,Q26,B25
128,0.0003137509,Q26,B25
128,0.0002990444,Q26,B25
256,0.0002029449,Q26,B25
256,0.0001891445,Q26,B25
256,0.000185578,Q26,B25
512,0.0001390631,Q26,B25
512,0.0002909153,Q26,B25
512,0.0001349902,Q26,B25
8,0.003058028,Q26,LD04
8,0.003144936,Q26,LD04
8,0.00300366,Q26,LD04
16,0.001598279,Q26,LD04
16,0.001611931,Q26,LD04
16,0.001588579,Q26,LD04
32,0.0008678158,Q26,LD04
32,0.0009246812,Q26,LD04
32,0.0008900698,Q26,LD04
64,0.000512376,Q26,LD04
64,0.0005102543,Q26,LD04
64,0.0004955344,Q26,LD04
128,0.0003059283,Q26,LD04
128,0.0003165669,Q26,LD04
128,0.000297076,Q26,LD04
256,0.0001876515,Q26,LD04
256,0.0001906674,Q26,LD04
256,0.0002041502,Q26,LD04
512,0.0001423666,Q26,LD04
512,0.0001309568,Q26,LD04
512,0.0001174065,Q26,LD04
