num_gpus,us_per_zone_update,compute_scheme,averaging_scheme
1,0.02764727865,B25,B25
8,0.003618495564,B25,B25
64,0.0004934724782,B25,B25
512,8.997828013e-05,B25,B25
1,0.02757863455,B25,LD04
8,0.003589288944,B25,LD04
64,0.0004911785848,B25,LD04
512,7.364017686e-05,B25,LD04
1,0.03475872625,FS18,B25
8,0.00435990826,FS18,B25
64,0.000573975505,FS18,B25
512,7.779753922e-05,FS18,B25
1,0.03464811332,FS18,LD04
8,0.004366592529,FS18,LD04
64,0.0005755824607,FS18,LD04
512,9.475229563e-05,FS18,LD04
1,0.02123258164,Q26,B25
8,0.002877421083,Q26,B25
64,0.0004220919815,Q26,B25
512,5.750122783e-05,Q26,B25
1,0.02119051156,Q26,LD04
8,0.002890117325,Q26,LD04
64,0.0004257133502,Q26,LD04
512,5.972459037e-05,Q26,LD04
