x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,-4.5593714622518034e-17
0.18359375,-5.9257870438236034e-15
0.19140625,-2.1119031482282847e-14
0.19921875,-8.609900407013442e-15
0.20703125,6.85033856546193e-13
0.21484375,3.2644287900602542e-12
0.22265625,-1.7297353886820043e-10
0.23046875,-9.372494289252258e-10
0.23828125,-1.4855428956994317e-09
0.24609375,4.589164479890865e-08
0.25390625,1.584477356972863e-07
0.26171875,-4.177795754058525e-08
0.26953125,-6.9151766392822855e-06
0.27734375,-2.2769874765500686e-05
0.28515625,-3.477949819075364e-05
0.29296875,-3.6405651971990475e-05
0.30078125,-5.7560255845877786e-05
0.30859375,-0.0016117846976194008
0.31640625,-0.007293696655759683
0.32421875,-0.01704175973090199
0.33203125,-0.029419014143278847
0.33984375,-0.04319263405446419
0.34765625,-0.05779633045266052
0.35546875,-0.07306186955567438
0.36328125,-0.08894953520873115
0.37109375,-0.1054317133975015
0.37890625,-0.12251177311140296
0.38671875,-0.1402020652986107
0.39453125,-0.15852700306056267
0.40234375,-0.17729834258408125
0.41015625,-0.19591798053330328
0.41796875,-0.21367089802057757
0.42578125,-0.2306523319271155
0.43359375,-0.24431989797378273
0.44140625,-0.2438778146248781
0.44921875,-0.22717551703462294
0.45703125,-0.22076151007854064
0.46484375,-0.5084445742847125
0.47265625,-1.0991571387831605
0.48046875,-1.4415553970655688
0.48828125,-1.5703709868018814
0.49609375,-1.6001865024565358
0.50390625,-1.5960116195717056
0.51171875,-1.5869134029411005
0.51953125,-1.5835284592323104
0.52734375,-1.5863019655343022
0.53515625,-1.5876634108022951
0.54296875,-1.580301149840898
0.55078125,-1.571959632905683
0.55859375,-1.5774852048092016
0.56640625,-1.5780602235185361
0.57421875,-1.578021608927067
0.58203125,-1.5848540816577907
0.58984375,-1.5911422034107272
0.59765625,-1.5928620995862741
0.60546875,-1.5922914371659223
0.61328125,-1.5901434608464604
0.62109375,-1.5823181652488667
0.62890625,-1.5705130396724076
0.63671875,-1.546586337015052
0.64453125,-1.3780895028687608
0.65234375,-0.822713950513528
0.66015625,-0.30555490979749295
0.66796875,-0.1586998517748717
0.67578125,-0.15103969099537612
0.68359375,-0.15465752097467436
0.69140625,-0.15983797626147966
0.69921875,-0.16419215731175368
0.70703125,-0.16583296910021564
0.71484375,-0.1659463882522079
0.72265625,-0.1666229664615895
0.73046875,-0.16773053650660286
0.73828125,-0.17031040814643525
0.74609375,-0.18106773065553963
0.75390625,-0.19405481743234748
0.76171875,-0.20179704397998205
0.76953125,-0.20116955293237596
0.77734375,-0.19340780261049254
0.78515625,-0.18049289151313302
0.79296875,-0.1637720550545194
0.80078125,-0.14444953295309715
0.80859375,-0.12413036514034959
0.81640625,-0.10461272157287696
0.82421875,-0.08724529224413403
0.83203125,-0.07229215479728042
0.83984375,-0.058765557824146934
0.84765625,-0.04501907584416195
0.85546875,-0.029948568142207314
0.86328125,-0.014184675427426996
0.87109375,-0.000455448760079657
0.87890625,0.007687303782778308
0.88671875,0.00871248320789071
0.89453125,0.004958772904733142
0.90234375,0.0009036104112359636
0.91015625,-0.000490774492232039
0.91796875,-0.000313921990512672
0.92578125,-3.0640494262868506e-05
0.93359375,1.190019149327349e-06
0.94140625,4.319018079128896e-07
0.94921875,3.0314791706598623e-08
0.95703125,-1.5708417694393608e-08
0.96484375,-5.816469073600436e-09
0.97265625,-8.6280053863028e-11
0.98046875,3.6591216197867125e-11
0.98828125,1.449628619259375e-11
0.99609375,-2.0473639546159883e-13
