x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,-2.320925300183877e-17
0.18359375,-1.9139015018537966e-15
0.19140625,-5.3385093201078375e-15
0.19921875,8.567717413138279e-15
0.20703125,3.38612244447403e-13
0.21484375,9.189554668767968e-13
0.22265625,-6.783772491838158e-11
0.23046875,-3.0014269267214157e-10
0.23828125,-3.553540599507848e-10
0.24609375,1.577718385449113e-08
0.25390625,4.850135219636798e-08
0.26171875,-4.29660354212516e-08
0.26953125,-2.267005613985879e-06
0.27734375,-7.074349373153974e-06
0.28515625,-1.0449639380627312e-05
0.29296875,-1.0860536261088267e-05
0.30078125,-2.371336351976725e-05
0.30859375,-0.001481938023855865
0.31640625,-0.0071031497765121614
0.32421875,-0.01689833848029
0.33203125,-0.029405281258326053
0.33984375,-0.043326940419836237
0.34765625,-0.05805587592036004
0.35546875,-0.07340039264181308
0.36328125,-0.0893038992579102
0.37109375,-0.10573203757162225
0.37890625,-0.12267366711831923
0.38671875,-0.14012528802789898
0.39453125,-0.15811206592665072
0.40234375,-0.1765388374230128
0.41015625,-0.19504163040576492
0.41796875,-0.21301264017148192
0.42578125,-0.23018171421486516
0.43359375,-0.243199400126076
0.44140625,-0.24226110065778703
0.44921875,-0.22710481959086543
0.45703125,-0.22350139410705147
0.46484375,-0.516331660261342
0.47265625,-1.1217748538628416
0.48046875,-1.4491433635350217
0.48828125,-1.5443730715048045
0.49609375,-1.5904698797322712
0.50390625,-1.5949339386364811
0.51171875,-1.588910428720873
0.51953125,-1.585574710657217
0.52734375,-1.5884599134670805
0.53515625,-1.588195624294577
0.54296875,-1.5778362718840997
0.55078125,-1.5699129132091225
0.55859375,-1.5747450599581485
0.56640625,-1.5752184898621262
0.57421875,-1.5735564768306909
0.58203125,-1.5802603409095783
0.58984375,-1.5847526020725633
0.59765625,-1.5857981979268068
0.60546875,-1.5890554939582107
0.61328125,-1.5938505521179547
0.62109375,-1.5874163572919846
0.62890625,-1.568208297422513
0.63671875,-1.5452825970620427
0.64453125,-1.3998161868455565
0.65234375,-0.8453091118806144
0.66015625,-0.3145221394436767
0.66796875,-0.1597405650303597
0.67578125,-0.15270869585347924
0.68359375,-0.15556620757712558
0.69140625,-0.1598658246796442
0.69921875,-0.16478147023715609
0.70703125,-0.16870085919805625
0.71484375,-0.17067464463482607
0.72265625,-0.17136840402334028
0.73046875,-0.1723754436704969
0.73828125,-0.17635297468566885
0.74609375,-0.1835216952095223
0.75390625,-0.1908007664996014
0.76171875,-0.19458599360030995
0.76953125,-0.1932098014321061
0.77734375,-0.18648844384509966
0.78515625,-0.17495619998366957
0.79296875,-0.15935118810171536
0.80078125,-0.1408738140039041
0.80859375,-0.12141629844138786
0.81640625,-0.10314517158553317
0.82421875,-0.08755234655915774
0.83203125,-0.07456218654118792
0.83984375,-0.06248663550035991
0.84765625,-0.04911037197925309
0.85546875,-0.033219338088651074
0.86328125,-0.01576006518270355
0.87109375,-4.7250194368442954e-05
0.87890625,0.009607242635114076
0.88671875,0.01098820555997259
0.89453125,0.006419893929451793
0.90234375,0.0012979115692929128
0.91015625,-0.0005847360736284315
0.91796875,-0.00040503536165608793
0.92578125,-4.723814840007038e-05
0.93359375,1.5467660806258338e-06
0.94140625,5.028596206576223e-07
0.94921875,4.663435261526783e-08
0.95703125,-7.7453109649015e-09
0.96484375,-4.176247125233371e-09
0.97265625,-6.950349691475588e-10
0.98046875,7.726098701692547e-11
0.98828125,3.471688150330448e-11
0.99609375,3.502579224113119e-12
