num_gpus,us_per_zone_update,compute_scheme,averaging_scheme
1,0.03352668,B25,B25
1,0.03354681,B25,B25
1,0.03533765,B25,B25
8,0.004639285,B25,B25
8,0.004640652,B25,B25
8,0.004722046,B25,B25
64,0.0006130662,B25,B25
64,0.0006156458,B25,B25
64,0.0006461009,B25,B25
512,8.235568e-05,B25,B25
512,8.19445e-05,B25,B25
512,8.343344e-05,B25,B25
1,0.0334517,B25,LD04
1,0.03313332,B25,LD04
1,0.03511317,B25,LD04
8,0.00461261,B25,LD04
8,0.004609112,B25,LD04
8,0.00473069,B25,LD04
64,0.0006152043,B25,LD04
64,0.0006197025,B25,LD04
64,0.0006495163,B25,LD04
512,8.23064e-05,B25,LD04
512,8.049062e-05,B25,LD04
512,8.342797e-05,B25,LD04
1,0.04474042,FS18,B25
1,0.04643029,FS18,B25
1,0.04448211,FS18,B25
8,0.005833983,FS18,B25
8,0.005913884,FS18,B25
8,0.005796876,FS18,B25
64,0.0007563738,FS18,B25
64,0.0007592011,FS18,B25
64,0.0007708251,FS18,B25
512,0.000101552,FS18,B25
512,9.917265e-05,FS18,B25
512,9.818306e-05,FS18,B25
1,0.04460437,FS18,LD04
1,0.04630543,FS18,LD04
1,0.04451761,FS18,LD04
8,0.005820664,FS18,LD04
8,0.00588422,FS18,LD04
8,0.005821877,FS18,LD04
64,0.0007744454,FS18,LD04
64,0.00076264,FS18,LD04
64,0.0007464744,FS18,LD04
512,9.894855e-05,FS18,LD04
512,0.0001020217,FS18,LD04
512,9.765028e-05,FS18,LD04
1,0.02554651,Q26,B25
1,0.02740429,Q26,B25
1,0.02555749,Q26,B25
8,0.003591156,Q26,B25
8,0.003684418,Q26,B25
8,0.003595595,Q26,B25
64,0.0004990821,Q26,B25
64,0.0005038265,Q26,B25
64,0.0005147052,Q26,B25
512,6.712822e-05,Q26,B25
512,6.72857e-05,Q26,B25
512,6.566558e-05,Q26,B25
1,0.02552042,Q26,LD04
1,0.0273321,Q26,LD04
1,0.0254777,Q26,LD04
8,0.00355894,Q26,LD04
8,0.003689337,Q26,LD04
8,0.003590758,Q26,LD04
64,0.0005142628,Q26,LD04
64,0.0005106704,Q26,LD04
64,0.0004894921,Q26,LD04
512,6.69045e-05,Q26,LD04
512,6.683444e-05,Q26,LD04
512,6.727242e-05,Q26,LD04
